nodes,p,steps,end
10,0.1,3,1
10,0.1,1,1
10,0.1,3,2
10,0.1,1,1
10,0.1,2,1
10,0.1,3,1
10,0.1,3,2
10,0.1,3,2
10,0.1,3,1
10,0.1,1,1
10,0.1,7,2
10,0.1,9,2
10,0.1,7,2
10,0.1,3,2
10,0.1,1,1
10,0.1,3,2
10,0.1,7,2
10,0.1,7,2
10,0.1,3,1
10,0.1,1,1
10,0.1,11,2
10,0.1,1,1
10,0.1,1,1
10,0.1,2,1
10,0.1,1,1
10,0.1,3,2
10,0.1,6,1
10,0.1,3,2
10,0.1,2,1
10,0.1,5,1
10,0.1,15,2
10,0.1,5,2
10,0.1,3,2
10,0.1,3,2
10,0.1,1,1
10,0.1,3,2
10,0.1,1,1
10,0.1,7,2
10,0.1,1,1
10,0.1,1,1
10,0.1,2,1
10,0.1,5,2
10,0.1,1,1
10,0.1,8,2
10,0.1,3,1
10,0.1,7,2
10,0.1,7,2
10,0.1,1,1
10,0.1,3,2
10,0.1,5,2
10,0.1,7,2
10,0.1,3,2
10,0.1,7,2
10,0.1,3,1
10,0.1,8,2
10,0.1,3,1
10,0.1,1,1
10,0.1,3,1
10,0.1,4,2
10,0.1,1,1
10,0.1,1,1
10,0.1,5,2
10,0.1,4,2
10,0.1,3,1
10,0.1,3,2
10,0.1,6,1
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,3,1
10,0.1,1,1
10,0.1,7,2
10,0.1,1,1
10,0.1,5,2
10,0.1,3,2
10,0.1,3,2
10,0.1,1,1
10,0.1,3,2
10,0.1,7,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,17,1
10,0.1,2,1
10,0.1,2,1
10,0.1,7,2
10,0.1,5,2
10,0.1,1,1
10,0.1,9,2
10,0.1,1,1
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,1,1
10,0.1,3,1
10,0.1,5,2
10,0.1,3,2
10,0.1,3,1
10,0.1,4,2
10,0.1,4,2
10,0.1,6,2
10,0.1,3,1
10,0.1,7,1
10,0.1,2,1
10,0.1,1,1
10,0.1,3,1
10,0.1,1,1
10,0.1,3,2
10,0.1,7,2
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,4,2
10,0.1,3,2
10,0.1,2,1
10,0.1,1,1
10,0.1,3,1
10,0.1,9,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,5,2
10,0.1,3,2
10,0.1,1,1
10,0.1,3,2
10,0.1,1,1
10,0.1,3,2
10,0.1,7,1
10,0.1,5,2
10,0.1,8,1
10,0.1,2,1
10,0.1,3,2
10,0.1,1,1
10,0.1,5,2
10,0.1,2,1
10,0.1,3,2
10,0.1,1,1
10,0.1,3,2
10,0.1,4,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,3,2
10,0.1,10,2
10,0.1,1,1
10,0.1,3,1
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,3,1
10,0.1,8,2
10,0.1,3,2
10,0.1,3,2
10,0.1,1,1
10,0.1,3,1
10,0.1,1,1
10,0.1,3,2
10,0.1,3,2
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,9,2
10,0.1,3,1
10,0.1,3,2
10,0.1,3,2
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,4,2
10,0.1,9,1
10,0.1,1,1
10,0.1,1,1
10,0.1,2,1
10,0.1,3,1
10,0.1,1,1
10,0.1,1,1
10,0.1,3,1
10,0.1,3,2
10,0.1,4,1
10,0.1,3,1
10,0.1,3,2
10,0.1,5,2
10,0.1,1,1
10,0.1,3,2
10,0.1,1,1
10,0.1,3,2
10,0.1,5,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,3,1
10,0.1,3,2
10,0.1,1,1
10,0.1,3,2
10,0.1,5,2
10,0.1,4,2
10,0.1,1,1
10,0.1,1,1
10,0.1,2,1
10,0.1,1,1
10,0.1,1,1
10,0.1,7,2
10,0.1,7,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,5,2
10,0.1,1,1
10,0.1,6,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,8,2
10,0.1,1,1
10,0.1,1,1
10,0.1,3,1
10,0.1,5,2
10,0.1,15,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,6,2
10,0.1,3,1
10,0.1,1,1
10,0.1,3,2
10,0.1,13,2
10,0.1,3,2
10,0.1,3,1
10,0.1,4,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,2,1
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,3,1
10,0.1,5,2
10,0.1,7,2
10,0.1,12,2
10,0.1,13,2
10,0.1,3,2
10,0.1,1,1
10,0.1,3,2
10,0.1,7,2
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,5,2
10,0.1,1,1
10,0.1,8,2
10,0.1,9,2
10,0.1,11,2
10,0.1,1,1
10,0.1,3,1
10,0.1,1,1
10,0.1,1,1
10,0.1,10,2
10,0.1,2,1
10,0.1,1,1
10,0.1,6,2
10,0.1,7,1
10,0.1,11,2
10,0.1,3,2
10,0.1,1,1
10,0.1,3,2
10,0.1,4,1
10,0.1,1,1
10,0.1,3,2
10,0.1,3,2
10,0.1,2,1
10,0.1,3,2
10,0.1,25,2
10,0.1,15,2
10,0.1,8,2
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,4,1
10,0.1,8,2
10,0.1,3,2
10,0.1,5,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,7,1
10,0.1,3,1
10,0.1,5,2
10,0.1,3,2
10,0.1,2,1
10,0.1,1,1
10,0.1,3,1
10,0.1,3,2
10,0.1,1,1
10,0.1,3,1
10,0.1,3,2
10,0.1,1,1
10,0.1,6,2
10,0.1,8,2
10,0.1,3,1
10,0.1,1,1
10,0.1,3,1
10,0.1,1,1
10,0.1,3,2
10,0.1,7,2
10,0.1,7,2
10,0.1,1,1
10,0.1,5,2
10,0.1,4,1
10,0.1,7,2
10,0.1,2,1
10,0.1,1,1
10,0.1,7,2
10,0.1,7,2
10,0.1,4,1
10,0.1,4,1
10,0.1,4,1
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,2,2
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,4,1
10,0.1,7,2
10,0.1,1,1
10,0.1,1,1
10,0.1,6,1
10,0.1,1,1
10,0.1,1,1
10,0.1,11,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,6,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,3,1
10,0.1,3,2
10,0.1,3,2
10,0.1,3,1
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,2,1
10,0.1,3,2
10,0.1,1,1
10,0.1,2,1
10,0.1,1,1
10,0.1,2,1
10,0.1,5,2
10,0.1,1,1
10,0.1,1,1
10,0.1,2,2
10,0.1,1,1
10,0.1,5,2
10,0.1,3,2
10,0.1,1,1
10,0.1,2,1
10,0.1,8,1
10,0.1,1,1
10,0.1,3,2
10,0.1,3,2
10,0.1,5,1
10,0.1,3,1
10,0.1,1,1
10,0.1,2,2
10,0.1,1,1
10,0.1,3,2
10,0.1,3,1
10,0.1,1,1
10,0.1,5,2
10,0.1,3,1
10,0.1,3,2
10,0.1,7,1
10,0.1,7,2
10,0.1,21,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,1,1
10,0.1,3,1
10,0.1,1,1
10,0.1,2,1
10,0.1,1,1
10,0.1,5,2
10,0.1,5,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,5,2
10,0.1,3,2
10,0.1,1,1
10,0.1,10,2
10,0.1,7,2
10,0.1,3,1
10,0.1,1,1
10,0.1,2,1
10,0.1,5,2
10,0.1,1,1
10,0.1,1,1
10,0.1,7,2
10,0.1,1,1
10,0.1,3,2
10,0.1,2,2
10,0.1,2,1
10,0.1,1,1
10,0.1,4,2
10,0.1,3,1
10,0.1,2,1
10,0.1,3,1
10,0.1,3,1
10,0.1,3,2
10,0.1,3,1
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,11,2
10,0.1,1,1
10,0.1,1,1
10,0.1,1,1
10,0.1,9,2
10,0.1,1,1
10,0.1,1,1
10,0.1,5,2
10,0.1,1,1
10,0.1,3,1
10,0.1,1,1
10,0.1,1,1
10,0.1,4,1
10,0.1,3,2
10,0.1,3,1
10,0.1,1,1
10,0.1,1,1
10,0.1,7,2
10,0.1,6,1
10,0.1,3,2
10,0.1,3,2
10,0.1,3,2
10,0.1,1,1
10,0.1,1,1
10,0.1,7,1
10,0.1,1,1
10,0.1,1,1
10,0.1,3,2
10,0.1,1,1
10,0.1,2,1
10,0.1,5,2
10,0.1,6,1
10,0.1,1,1
10,0.1,3,1
10,0.1,5,2
10,0.1,1,1
10,0.1,5,2
10,0.1,1,1
10,0.1,7,2
10,0.1,1,1
10,0.1,2,1
10,0.1,2,1
10,0.1,3,1
10,0.1,3,2
10,0.1,5,2
10,0.1,11,2
10,0.1,5,2
10,0.1,1,1
10,0.1,1,1
10,0.1,3,1
10,0.1,1,1
10,0.1,4,2
10,0.1,7,2
